a b S_T
1e-04 0.1 989.7775
1e-04 0.15 998.305
1e-04 0.2 999.01
1e-04 0.25 999.2775
1e-04 0.3 999.5825
1e-04 0.35 999.6225
1e-04 0.4 999.6975
1e-04 0.45 999.6675
1e-04 0.5 999.76
2e-04 0.1 598.97
2e-04 0.15 902.9575
2e-04 0.2 986.41
2e-04 0.25 996.2525
2e-04 0.3 997.83
2e-04 0.35 998.4775
2e-04 0.4 998.9075
2e-04 0.45 999.2
2e-04 0.5 999.2325
3e-04 0.1 344.9225
3e-04 0.15 568.7625
3e-04 0.2 801.5775
3e-04 0.25 932.2075
3e-04 0.3 989.16
3e-04 0.35 994.93
3e-04 0.4 997.5525
3e-04 0.45 997.8775
3e-04 0.5 998.7175
4e-04 0.1 221.0775
4e-04 0.15 404.67
4e-04 0.2 557.2275
4e-04 0.25 731.4525
4e-04 0.3 873.73
4e-04 0.35 960.0375
4e-04 0.4 987.15
4e-04 0.45 994.345
4e-04 0.5 996.64
5e-04 0.1 183.1725
5e-04 0.15 276.2825
5e-04 0.2 426.59
5e-04 0.25 529.625
5e-04 0.3 674.1125
5e-04 0.35 773.47
5e-04 0.4 908.165
5e-04 0.45 962.0975
5e-04 0.5 985.8525
6e-04 0.1 122.07
6e-04 0.15 191.405
6e-04 0.2 323.3075
6e-04 0.25 399.475
6e-04 0.3 511.05
6e-04 0.35 631.7775
6e-04 0.4 759.8925
6e-04 0.45 870.4125
6e-04 0.5 926.7875
7e-04 0.1 90.885
7e-04 0.15 183.17
7e-04 0.2 223.0725
7e-04 0.25 341.4225
7e-04 0.3 428.7425
7e-04 0.35 535.165
7e-04 0.4 643.0075
7e-04 0.45 730.5775
7e-04 0.5 812.41
8e-04 0.1 100.33
8e-04 0.15 136.78
8e-04 0.2 213.12
8e-04 0.25 212.1
8e-04 0.3 327.6025
8e-04 0.35 415.8375
8e-04 0.4 493.105
8e-04 0.45 607.97
8e-04 0.5 709.3275
9e-04 0.1 92.5825
9e-04 0.15 134.6225
9e-04 0.2 142.6825
9e-04 0.25 231.605
9e-04 0.3 287.89
9e-04 0.35 356.0875
9e-04 0.4 404.9575
9e-04 0.45 493.0425
9e-04 0.5 578.365
0.001 0.1 67.5425
0.001 0.15 108.7425
0.001 0.2 136.0725
0.001 0.25 144.555
0.001 0.3 212.645
0.001 0.35 320.55
0.001 0.4 326.6775
0.001 0.45 400.3475
0.001 0.5 504.2175
